,1 day,2 days,3 days,4 days,5 days,6 days,7 days,trend_name
0,5,161,0,0,0,0,0,makeasongorpoemdull
1,60,0,0,0,0,0,0,limerickaconfession
2,47,0,0,0,0,0,0,せと打ってクリスマスにもらえるもの
3,123,7,2,2,0,2,11,FensterFreitag
4,39,0,1,0,1,0,0,promises
5,12,94,0,2,4,2,0,musiquinta
6,38,0,0,0,1,1,5,JukeboxFridayNight
7,47,2,3,1,2,2,5,VendrediLecture
8,45,0,36,81,17,0,0,lhp3
9,52,162,5,3,8,2,4,icc
10,52,5,1,0,0,0,3,WindowFriday
11,8,61,1,0,0,0,0,gallant
12,4,52,0,0,0,0,0,ThursdayFiveList
13,20,0,1,0,0,1,4,tgif
14,20,48,0,0,0,0,0,wahlkampffilme
15,3,45,0,0,0,0,0,thecoming
16,45,4,39,84,16,2,2,hochwasser
17,14,1,3,1,2,1,0,freitag
18,25,49,2,2,0,0,0,larevuelta
19,14,1,0,0,0,0,0,ausvind
