Users_Followers,Post_Length,Number of Mentions (@),Number of Hashtags (#),# of Favorites,# of Boosts,Post Time,Post has Media
58317,395,0,19,0,0,2024-11-20 16:52:43+00:00,0
1041,26,1,0,0,0,2024-11-20 16:52:42+00:00,0
2940,629,0,1,0,0,2024-11-20 16:52:40+00:00,1
1305,84,1,4,0,0,2024-11-20 16:52:40+00:00,0
1,89,1,0,0,0,2024-11-20 16:52:38+00:00,0
79,37,1,0,0,0,2024-11-20 16:53:10+00:00,0
244981,201,1,0,0,0,2024-11-20 16:06:00+00:00,0
22,451,2,0,0,0,2024-11-20 16:53:07+00:00,0
1721,219,0,0,0,0,2024-11-20 16:53:06+00:00,0
108,27,1,0,0,0,2024-11-20 16:53:10+00:00,0
297,471,1,0,0,0,2024-11-20 16:56:55+00:00,0
52928,275,1,0,0,0,2024-11-20 16:25:17+00:00,0
101,591,0,11,0,0,2024-11-20 16:56:54+00:00,1
994,337,0,2,0,0,2024-11-20 16:56:52+00:00,0
167,107,1,0,0,0,2024-11-20 16:56:51+00:00,0
605528,252,1,0,0,0,2024-11-20 16:39:36+00:00,0
1070,81,0,0,0,0,2024-11-20 16:56:47+00:00,1
3755,269,1,0,0,0,2024-11-20 16:35:17+00:00,0
79131,204,3,0,0,0,2024-11-20 16:56:48+00:00,0
58317,419,0,19,0,0,2024-11-20 16:56:46+00:00,0
1453,186,0,0,0,0,2024-11-20 16:56:46+00:00,0
37,61,1,0,0,0,2024-11-20 16:55:32+00:00,0
734,45,0,0,0,0,2024-11-20 16:56:42+00:00,0
161,191,1,0,0,0,2024-11-20 16:56:43.044000+00:00,0
96,266,0,21,0,1,2024-11-20 16:56:44+00:00,1
457,63,5,0,0,0,2024-11-20 16:56:41+00:00,0
677,72,0,1,0,0,2024-11-20 16:56:39+00:00,0
87,284,0,4,0,1,2024-11-20 16:56:39+00:00,1
74,94,1,6,0,0,2024-11-20 16:56:37+00:00,0
528,61,1,0,0,0,2024-11-20 16:56:35+00:00,0
1243,105,0,2,0,0,2024-11-20 16:56:35+00:00,0
8810,311,0,0,0,0,2024-11-20 16:56:35+00:00,0
5407,133,0,0,0,0,2024-11-20 16:56:35+00:00,0
837,115,0,1,0,0,2024-11-20 16:56:31+00:00,0
207,73,1,0,0,0,2024-11-20 16:56:31+00:00,0
210,363,0,0,0,0,2024-11-20 16:50:41+00:00,0
504,331,0,3,0,0,2024-11-20 16:47:00+00:00,0
186,415,0,7,0,0,2024-11-20 16:43:34+00:00,0
38,5,0,0,0,0,2024-11-20 16:56:29+00:00,0
4596,300,1,0,0,0,2024-11-20 15:36:57+00:00,0
603,24,1,0,0,0,2024-11-20 16:56:26+00:00,0
5407,223,0,4,0,0,2024-11-20 16:56:28+00:00,0
203,302,1,0,0,0,2024-11-20 16:56:20+00:00,0
405,65,1,0,0,0,2024-11-20 16:56:26+00:00,0
863,557,0,4,0,0,2024-11-20 16:56:25+00:00,0
104,72,1,0,0,0,2024-11-20 16:56:25+00:00,0
441,574,2,0,0,0,2024-11-20 16:56:09+00:00,0
98,26,1,0,0,0,2024-11-20 16:56:22+00:00,0
1623,491,0,6,0,2,2024-11-20 16:56:19+00:00,0
4364,73,1,0,0,0,2024-11-20 16:56:20+00:00,0
642,174,0,0,0,0,2024-11-20 17:01:52+00:00,0
26,111,0,5,0,0,2024-11-20 17:01:39+00:00,0
1012,653,1,0,0,0,2024-11-20 17:01:54+00:00,0
1005,43,2,0,0,0,2024-11-20 17:01:53+00:00,0
2618,69,1,0,0,0,2024-11-20 17:01:49.987000+00:00,0
4364,93,0,0,0,0,2024-11-20 17:01:36+00:00,0
1024,142,1,0,0,0,2024-11-20 17:01:48+00:00,0
429,258,3,0,0,0,2024-11-20 17:01:40+00:00,0
6497,277,0,0,0,0,2024-11-20 16:28:00+00:00,0
16959,224,0,0,0,0,2024-11-20 16:13:00+00:00,0
418,100,1,0,0,0,2024-11-20 17:01:46+00:00,0
3495,134,1,0,0,0,2024-11-20 17:01:47+00:00,0
552,80,0,0,0,0,2024-11-20 17:01:47+00:00,0
1146,251,1,7,0,0,2024-11-20 17:01:45+00:00,1
5291,271,0,0,0,0,2024-11-20 17:01:30+00:00,0
178,47,2,0,0,0,2024-11-20 17:01:39+00:00,0
1401,62,0,0,0,0,2024-11-20 17:01:42+00:00,0
1013,86,0,0,0,0,2024-11-20 17:01:33+00:00,0
207,249,0,3,0,0,2024-11-20 17:01:43+00:00,0
